kind,city,state,county,latitude,longitude,population
city,Adak,AK,,51.909889,-176.598067,
city,Akhiok,AK,,56.948329,-154.215306,
city,Akiachak,AK,,60.920984,-161.402087,
city,Akiak,AK,,60.909445,-161.216002,
city,Akutan,AK,,54.139979,-165.763026,
city,Alakanuk,AK,,62.710997,-164.649719,
city,Alatna,AK,,66.563794,-152.838498,
city,Alcan Border,AK,,62.703078,-141.193584,
city,Aleknagik,AK,,59.288961,-158.664343,
city,Aleneva,AK,,58.059052,-152.909015,
city,Allakaket,AK,,66.542002,-152.583016,
city,Ambler,AK,,67.090944,-157.887097,
city,Anaktuvuk Pass,AK,,68.149752,-151.697066,
city,Anchor Point,AK,,59.747364,-151.695697,
city,Anchorage,AK,,61.174250,-149.284329,
city,Anderson,AK,,64.308281,-149.163187,
city,Angoon,AK,,57.441257,-134.478357,
city,Aniak,AK,,61.578825,-159.547427,
city,Anvik,AK,,62.631627,-160.215106,
city,Arctic Village,AK,,68.165374,-145.401362,
city,Atka,AK,,52.211546,-174.213452,
city,Atmautluak,AK,,60.862755,-162.280302,
city,Atqasuk,AK,,70.480786,-157.325459,
city,Attu Station,AK,,52.880248,173.256076,
city,Badger,AK,,64.800081,-147.385129,
city,Bear Creek,AK,,60.208060,-149.369779,
city,Beaver,AK,,66.384745,-147.287756,
city,Beluga,AK,,61.190862,-151.184237,
city,Bethel,AK,,60.793905,-161.796322,
city,Bettles,AK,,66.906901,-151.537994,
city,Big Delta,AK,,64.157047,-145.740874,
city,Big Lake,AK,,61.515547,-149.975530,
city,Birch Creek,AK,,66.268327,-145.876583,
city,Brevig Mission,AK,,65.343196,-166.508946,
city,Buckland,AK,,65.976489,-161.139436,
city,Buffalo Soapstone,AK,,61.684439,-149.121172,
city,Butte,AK,,61.534033,-148.988168,
city,Cantwell,AK,,63.411396,-148.749621,
city,Central,AK,,65.509073,-144.620508,
city,Chalkyitsik,AK,,66.646753,-143.789298,
city,Chase,AK,,62.418236,-149.936172,
city,Chefornak,AK,,60.151845,-164.251542,
city,Chena Ridge,AK,,64.794305,-148.032883,
city,Chenega,AK,,60.092096,-147.994580,
city,Chevak,AK,,61.529560,-165.594126,
city,Chickaloon,AK,,61.815283,-148.291957,
city,Chicken,AK,,64.087691,-141.828278,
city,Chignik,AK,,56.295180,-158.391784,
city,Chignik Lagoon,AK,,56.304267,-158.500259,
city,Chignik Lake,AK,,56.273221,-158.793376,
city,Chiniak,AK,,57.575497,-152.279033,
city,Chisana,AK,,62.110039,-142.050549,
city,Chistochina,AK,,62.596444,-144.941045,
city,Chitina,AK,,61.553038,-144.175268,
city,Chuathbaluk,AK,,61.573909,-159.247015,
city,Circle,AK,,65.838617,-144.175330,
city,Clam Gulch,AK,,60.208887,-151.404203,
city,Clark's Point,AK,,58.832992,-158.527347,
city,Coffman Cove,AK,,56.001661,-132.841966,
city,Cohoe,AK,,60.266971,-151.298172,
city,Cold Bay,AK,,55.215824,-162.775686,
city,Coldfoot,AK,,67.247451,-150.108051,
city,College,AK,,64.867290,-147.819453,
city,Cooper Landing,AK,,60.494579,-149.843945,
city,Copper Center,AK,,62.001096,-145.363956,
city,Cordova,AK,,60.530138,-145.642065,
city,Covenant Life,AK,,59.397505,-136.123002,
city,Craig,AK,,55.488746,-133.111568,
city,Crooked Creek,AK,,61.796698,-158.081020,
city,Crown Point,AK,,60.426679,-149.352980,
city,Deering,AK,,66.069488,-162.764572,
city,Delta Junction,AK,,64.057347,-145.699997,
city,Deltana,AK,,63.789340,-145.351625,
city,Denali Park,AK,,63.573017,-148.673705,
city,Diamond Ridge,AK,,59.702361,-151.554623,
city,Dillingham,AK,,59.060467,-158.532251,
city,Diomede,AK,,65.753924,-168.922577,
